B80-16059-102;19/;12/201497;158;0000271;2/201;01/2;015;0;1312/02/20;15006;8210.281605;;01/48020/
B80-16059-102;19/;12/201497;148;1561701;1/201;12/2;014;0;1313/01/20;15009;8332.021605;;01/48018/
C22-23884-103;01/;01/200991;126;0455780;3/201;08/2;01223/09/20;140;1315/03/20;15003;7162.161605;;01/28107/
C22-23884-103;01/;01/200991;126;0319370;2/201;06/2;01223/09/20;140;1315/03/20;15003;7230.041605;;01/28108/
C22-23884-103;01/;01/200991;128;0309420;4/201;06/2;01223/09/20;140;1315/03/20;15003;7545.671605;;01/28008/
C22-23884-103;01/;01/200991;128;0333450;5/201;06/2;01206/10/20;140;1315/03/20;15003;7563.851605;;01/28019/
C22-23884-103;01/;01/200991;128;0378080;6/201;07/2;012;0;1315/03/20;15003;7218.261605;;01/28018/
C29-15507-103;25/;02/201597;149;0790471;2/201;12/2;01405/01/20;150;3101/04/20;15002;01535739.561605;;01/40004/
C29-15507-103;25/;02/201597;148;0174540;4/201;12/2;01423/01/20;150;3101/04/20;15002;019736.981605;;01/18203/
C29-15507-103;25/;02/201597;143;0174540;4/201;12/2;01423/01/20;150;3101/04/20;15002;049342.451605;;01/10303/
C35-31200-102;31/;05/200297;048;0037070;3/199;06/2;004;0;1924/10/20;11127;5248.371605;;01/98204/
C35-31200-102;31/;05/200297;023;0111010;7/199;05/2;002;0;1924/10/20;11127;51214.551605;;01/80312/
C35-31200-102;31/;05/200297;023;0095590;6/199;05/2;002;0;1924/10/20;11127;51574.821605;;01/80302/
C35-31200-102;31/;05/200297;023;0079290;5/199;05/2;002;0;1924/10/20;11127;51068.271605;;01/80302/
C35-31200-102;31/;05/200297;023;0013710;1/199;04/2;002;0;1924/10/20;11127;5988.751605;;01/80308/
C35-41462-102;02/;06/201497;148;0432550;5/201;07/2;014;0;1315/02/20;15006;5252.681605;;01/48014/
C35-41462-102;02/;06/201497;146;0483630;3/201;08/2;014;0;1315/02/20;15006;550.321605;;01/48114/
C35-41462-102;02/;06/201497;142;0432550;5/201;07/2;014;0;1315/02/20;15006;5631.721605;;01/40214/
C53-35348-102;24/;03/201597;079;069905C1;1/200;03/2;007;0;1315/03/20;15003;73782.281605;;01/16020/
C53-35348-102;24/;03/201597;079;069903C1;2/200;03/2;007;0;1315/03/20;15003;71011.401605;;01/68820/
C53-35348-102;24/;03/201597;132;0002391;1/201;01/2;013;0;1315/03/20;15003;72304.871605;;01/20207/
C53-35348-102;24/;03/201597;138;0002391;1/201;01/2;013;0;1315/03/20;15003;7921.941605;;01/28007/
C53-35348-102;24/;03/201597;079;069913C1;1/200;03/2;007;0;1315/03/20;15003;71512.911605;;01/18820/
C53-35348-102;24/;03/201597;079;069921C0;6/200;03/2;007;0;1315/03/20;15003;7892.401605;;01/18820/
C53-35348-102;24/;03/201597;079;069912C1;0/200;03/2;007;0;1315/03/20;15003;71563.341605;;01/18820/
C53-35348-102;24/;03/201597;079;069904C1;0/200;03/2;007;0;1315/03/20;15003;73908.351605;;01/16020/
C53-35348-102;24/;03/201597;079;069914C1;2/200;03/2;007;0;1315/03/20;15003;71563.341605;;01/18820/
C53-35348-102;24/;03/201597;079;069920C0;5/200;03/2;007;0;1315/03/20;15003;7453.511605;;01/18820/
C53-35348-102;24/;03/201597;098;0441120;5/200;07/2;009;0;1315/03/20;15003;7356.141605;;01/98012/
